diseases,symptoms,drugs,,,,,,,
adenocarcinoma,yellow sputum,etonogestrel,,,,,,,
paranoia,breath sounds decreased,miconazole,,,,,,,
pancreatitis,chill,nitrofurantoin,,,,,,,
incontinence,rhonchus,etonogestrel,,,,,,,
paroxysmalÿdyspnea,green sputum,ortho tri-cyclen lo,,,,,,,
hernia,non-productive cough,tamsulosin,,,,,,,
malignant neoplasm of prostate^carcinoma prostate,wheezing,tofacitinib,,,,,,,
,haemoptysis,cryselle,,,,,,,
,distress respiratory,amphetamine / dextroamphetamine,,,,,,,
,tachypnea,clindamycin,,,,,,,
,malaise,pramipexole,,,,,,,
,night sweat,skyla,,,,,,,
,jugular venous distention,lastacaft,,,,,,,
,dyspnea,effexor xr,,,,,,,
,dysarthria,nifedipine,,,,,,,
,speech slurred,lurasidone,,,,,,,
,facial paresis,afrezza,,,,,,,
,hemiplegia,zoloft,,,,,,,
,seizure,ziprasidone,,,,,,,
,numbness,bactrim,,,,,,,
,symptom aggravating factors,ethinyl estradiol / norethindrone,,,,,,,
,st segment elevation,sertraline,,,,,,,
,st segment depression,aluminum chloride hexahydrate,,,,,,,
,t wave inverted,effexor xr,,,,,,,
,presence of q wave,paragard,,,,,,,
,chest discomfort,pregabalin,,,,,,,
,bradycardia,ethinyl estradiol / levonorgestrel,,,,,,,
,pain,ultram,,,,,,,
,nonsmoker,phentermine,,,,,,,
,erythema,venlafaxine,,,,,,,
,hepatosplenomegaly,campral,,,,,,,
,pruritus,venlafaxine,,,,,,,
,diarrhea,levonorgestrel,,,,,,,
,abscess bacterial,buspar,,,,,,,
,swelling,acetaminophen / hydrocodone,,,,,,,
,apyrexial,aviane,,,,,,,
,dysuria,inderal,,,,,,,
,hematuria,promethazine,,,,,,,
,renal angle tenderness,tioconazole,,,,,,,
,lethargy,orthovisc,,,,,,,
,hyponatremia,implanon,,,,,,,
,hemodynamically stable,marezine,,,,,,,
,difficulty passing urine,levonorgestrel,,,,,,,
,consciousness clear,aripiprazole,,,,,,,
,guaiac positive,minoxidil,,,,,,,
,monoclonal,humira,,,,,,,
,ecchymosis,"insulin inhalation, rapid acting",,,,,,,
,tumor cell invasion,acetaminophen / hydrocodone,,,,,,,
,haemorrhage,phenazopyridine,,,,,,,
,pallor,levonorgestrel,,,,,,,
,fatigue,clonidine,,,,,,,
,heme positive,ethinyl estradiol / norgestimate,,,,,,,
,pain back,nicoderm cq,,,,,,,
,orthostasis,levonorgestrel,,,,,,,
,arthralgia,celecoxib,,,,,,,
,transaminitis,fluoxetine,,,,,,,
,sputum purulent,topamax,,,,,,,
,hypoxemia,depakote,,,,,,,
,hypercapnia,riboflavin,,,,,,,
,patient non compliance,lo loestrin fe,,,,,,,
,unconscious state,copper,,,,,,,
,bedridden^bedridden,drospirenone / estradiol,,,,,,,
,abdominal tenderness,bupropion,,,,,,,
,unsteady gait,bacitracin / neomycin / polymyxin b,,,,,,,
,hyperkalemia,phentermine,,,,,,,
,urgency ofÿmicturition,yaz,,,,,,,
,ascites,copper,,,,,,,
,hypotension,amitriptyline,,,,,,,
,enuresis,jolessa,,,,,,,
,asterixis,guaifenesin / pseudoephedrine,,,,,,,
,muscle twitch,oxycodone,,,,,,,
,sleepy,nexplanon,,,,,,,
,headache,bupropion,,,,,,,
,lightheadedness,brisdelle,,,,,,,
,food intolerance,bupropion,,,,,,,
,numbness of hand,beyaz,,,,,,,
,general discomfort,lo loestrin fe,,,,,,,
,drowsiness,ethinyl estradiol / norgestimate,,,,,,,
,stiffness,yasmin,,,,,,,
,prostatism,bupropion,,,,,,,
,drowsiness^sleepy,zoloft,,,,,,,
,weight gain,nucynta er,,,,,,,
,fatigue^tired,prozac,,,,,,,
,mass of body structure,buspar,,,,,,,
,has religious belief,kariva,,,,,,,
,nervousness,escitalopram,,,,,,,
,formication,microgestin fe 1 / 20,,,,,,,
,hot flush,liraglutide,,,,,,,
,lesion,sutent,,,,,,,
,cushingoidÿhabitus,ethinyl estradiol / norethindrone,,,,,,,
,emphysematous change,tramadol,,,,,,,
,decreased body weight,tylenol with codeine #3,,,,,,,
,hoarseness,buspar,,,,,,,
,thicken,magnesium citrate,,,,,,,
,spontaneous rupture of membranes,tioconazole,,,,,,,
,muscle hypotonia,depo-provera,,,,,,,
,redness,drospirenone / ethinyl estradiol,,,,,,,
,hypesthesia,safyral,,,,,,,
,hyperacusis,levonorgestrel,,,,,,,
,scratch marks,effexor xr,,,,,,,
,sore to touch,desyrel,,,,,,,
,burning sensation,glyburide,,,,,,,
,satiety early,escitalopram,,,,,,,
,throbbing sensation quality,aldesleukin,,,,,,,
,sensory discomfort,zoloft,,,,,,,
,constipation,desvenlafaxine,,,,,,,
,pain abdominal,levonorgestrel,,,,,,,
,heartburn,drospirenone / ethinyl estradiol,,,,,,,
,breech presentation,phentermine / topiramate,,,,,,,
,cyanosis,pristiq,,,,,,,
,pain in lower limb,lurasidone,,,,,,,
,cardiomegaly,miconazole,,,,,,,
,clonus,acamprosate,,,,,,,
,unwell,spironolactone,,,,,,,
,anorexia,doxylamine / pyridoxine,,,,,,,
,anosmia,demerol,,,,,,,
,metastatic lesion,vyvanse,,,,,,,
,hemianopsia homonymous,depo-provera,,,,,,,
,hematocrit decreased,sovaldi,,,,,,,
,neck stiffness,sertraline,,,,,,,
,cicatrisation,motrin ib,,,,,,,
,hypometabolism,valacyclovir,,,,,,,
,aura,buprenorphine / naloxone,,,,,,,
,myoclonus,metoprolol,,,,,,,
,gurgle,pristiq,,,,,,,
,wheelchair bound,montelukast,,,,,,,
,leftÿatrialÿhypertrophy,dextromethorphan,,,,,,,
,oliguria,levitra,,,,,,,
,catatonia,restoril,,,,,,,
,unhappy,azathioprine,,,,,,,
,paresthesia,adapalene / benzoyl peroxide,,,,,,,
,gravida 0,linzess,,,,,,,
,lung nodule,levetiracetam,,,,,,,
,distended abdomen,ziana,,,,,,,
,ache,suboxone,,,,,,,
,macerated skin,nexplanon,,,,,,,
,heavy feeling,tinidazole,,,,,,,
,rest pain,diazepam,,,,,,,
,sinus rhythm,spironolactone,,,,,,,
,withdraw,quetiapine,,,,,,,
,behavior hyperactive,acetaminophen / butalbital / caffeine,,,,,,,
,terrify,ethinyl estradiol / norethindrone,,,,,,,
,photopsia,estradiol,,,,,,,
,giddy mood,gabapentin,,,,,,,
,disturbed family,paragard,,,,,,,
,hypersomnia,propofol,,,,,,,
,hyperhidrosis disorder,depo-provera,,,,,,,
,mydriasis,propranolol,,,,,,,
,extrapyramidal sign,adapalene / benzoyl peroxide,,,,,,,
,loose associations,yaz,,,,,,,
,exhaustion,levofloxacin,,,,,,,
,snore,vilazodone,,,,,,,
, wave feature,accutane,,,,,,,
,overweight,bupropion,,,,,,,
,systolic murmur,nalbuphine,,,,,,,
,asymptomatic,lexapro,,,,,,,
,splenomegaly,quetiapine,,,,,,,
,bleeding of vagina,miralax,,,,,,,
,macule,clonazepam,,,,,,,
,photophobia,phenobarbital,,,,,,,
,painful swallowing,levonorgestrel,,,,,,,
,cachexia,tri-sprintec,,,,,,,
,hypocalcemia result,metronidazole,,,,,,,
,"hypothermia, natural",tramadol,,,,,,,
,atypia,metoprolol,,,,,,,
,general unsteadiness,imiquimod,,,,,,,
,throat sore,caffeine,,,,,,,
,snuffle,levonorgestrel,,,,,,,
,hacking cough,etonogestrel,,,,,,,
,stridor,lisinopril,,,,,,,
,paresis,benzonatate,,,,,,,
,aphagia,diazepam,,,,,,,
,focal seizures,ayr saline nasal,,,,,,,
,abnormal sensation,venlafaxine,,,,,,,
,stupor,clarithromycin,,,,,,,
,fremitus,enbrel,,,,,,,
,stahli's line,ethinyl estradiol / norethindrone,,,,,,,
,stinging sensation,polyethylene glycol 3350 with electrolytes,,,,,,,
,paralyse,implanon,,,,,,,
,hirsutism,gabapentin,,,,,,,
,sniffle,microgestin fe 1 / 20,,,,,,,
,bradykinesia,restasis,,,,,,,
,out of breath,belviq,,,,,,,
,urge incontinence,tioconazole,,,,,,,
,vision blurred,symbyax,,,,,,,
,room spinning,zoloft,,,,,,,
,rambling speech,zoloft,,,,,,,
,clumsiness,vilazodone,,,,,,,
,decreased stool caliber,tretinoin,,,,,,,
,hematochezia,gleevec,,,,,,,
,egophony,desvenlafaxine,,,,,,,
,neologism,nexplanon,,,,,,,
,decompensation,ropinirole,,,,,,,
,stool color yellow,aviane,,,,,,,
,rigor,depo-provera,,,,,,,
,paraparesis,gabapentin,,,,,,,
,moody,ethinyl estradiol / levonorgestrel,,,,,,,
,fear of falling,ethinyl estradiol / etonogestrel,,,,,,,
,spasm,clomiphene,,,,,,,
,hyperventilation,clotrimazole,,,,,,,
,excruciating pain,topiramate,,,,,,,
,gag,etonogestrel,,,,,,,
,posturing,ambien,,,,,,,
,pulse absent,vyvanse,,,,,,,
,dysesthesia,fluorouracil,,,,,,,
,polymyalgia,genvoya,,,,,,,
,passed stones,tramadol,,,,,,,
,upper abdominal pain,tessalon perles,,,,,,,
,lower abdominal pain,asenapine,,,,,,,
,alcohol abuse,gabapentin,,,,,,,
,anxiety (nervousness),adipex-p,,,,,,,
,arm ache or pain,ethinyl estradiol / levonorgestrel,,,,,,,
,back ache or pain,suprep bowel prep kit,,,,,,,
,bleeding tendency,prenatal plus,,,,,,,
,blood in vomit,keflex,,,,,,,
,pain or soreness of breast,vitamin d2,,,,,,,
,chest pressure,flexeril,,,,,,,
,chills,viibryd,,,,,,,
,change in behavior,lysteda,,,,,,,
,depressed,topiramate,,,,,,,
,double vision (diplopia),omnicef,,,,,,,
,ear pressure,augmentin,,,,,,,
,pain in the ear,pentasa,,,,,,,
,eye pain (irritation),zofran,,,,,,,
,facial pain,kapidex,,,,,,,
,fainting,serzone,,,,,,,
,fever in the returning traveler,ethinyl estradiol / norgestimate,,,,,,,
,fever of unknown origin,zoloft,,,,,,,
,flank pain,hyoscyamine / methenamine / methylene blue / phenyl salicylate,,,,,,,
,frequent urination (frequency),diphenhydramine,,,,,,,
,delusions or hallucinations,minocycline,,,,,,,
,hives,monistat 3-day combination pack,,,,,,,
,hypothermia (low temperature),pitocin,,,,,,,
,incontinence (leaking urine),levonorgestrel,,,,,,,
,insomnia (trouble sleeping),pyridostigmine,,,,,,,
,skin itching,naprosyn,,,,,,,
,kidney pain (flank pain),elocon,,,,,,,
,leg ache or pain,clindamycin,,,,,,,
,swelling of both legs,pazopanib,,,,,,,
,lethargy (sluggishness),skyla,,,,,,,
,mouth pain,denosumab,,,,,,,
,muscle pain,bisacodyl,,,,,,,
,nasal bleeding,paxil,,,,,,,
,neck ache or pain,methotrexate,,,,,,,
,neck swelling,sprintec,,,,,,,
,obesity,etonogestrel,,,,,,,
,overdose,ciprofloxacin,,,,,,,
,heart pulsations and palpitations,levonorgestrel,,,,,,,
,poisoning,adipex-p,,,,,,,
,rash,liraglutide,,,,,,,
,shoulder ache or pain,buprenex,,,,,,,
,sinus pain and pressure,apri,,,,,,,
,sore throat,implanon,,,,,,,
,speech problem,benzoyl peroxide / erythromycin,,,,,,,
,substance abuse (drug abuse),metronidazole,,,,,,,
,swallowing problem (dysphagia),qsymia,,,,,,,
,trauma,lexapro,,,,,,,
,unsteady gait (trouble walking),lyrica,,,,,,,
,vaginal bleeding,trintellix,,,,,,,
,vaginal pain,metronidazole,,,,,,,
,vertigo (room spinning),klonopin,,,,,,,
,visual problems,buspar,,,,,,,
,general weakness,oseltamivir,,,,,,,
,tired,seasonique,,,,,,,
,throat pain,niravam,,,,,,,
,tremors,etonogestrel,,,,,,,
,"weight loss, unexplained",celexa,,,,,,,
,inconsolable baby,codeine / guaifenesin,,,,,,,
,swollen lymph nodes (large lymph nodes),bupropion,,,,,,,
,failure to thrive,klonopin,,,,,,,
,itchy rash (pruritic rash),spironolactone,,,,,,,
,learning difficulties,nuvaring,,,,,,,
,blood in urine (hematuria),minocycline,,,,,,,
,urinary retention (inability to urinate),plan b one-step,,,,,,,
,choking,cefuroxime,,,,,,,
,painful rash,ortho evra,,,,,,,
,vomiting coffee ground material,fluoxetine,,,,,,,
,ringing in ears (tinnitus),xanax,,,,,,,
,mouth ulcers,ondansetron,,,,,,,
,mouth swelling,dulaglutide,,,,,,,
,eye redness,supartz,,,,,,,
,bleeding gums,naproxen,,,,,,,
,loss of balance,alesse,,,,,,,
,muscle spasm,tretinoin,,,,,,,
,abdominal swelling (stomach swelling),ambien,,,,,,,
,hand numbness (paresthesias),orlistat,,,,,,,
,hemoptysis (coughing blood),microgestin fe 1.5 / 30,,,,,,,
,jaundice (yellowing skin),yaz,,,,,,,
,blister (pocket of fluid),methylprednisolone,,,,,,,
,jaw pain,cymbalta,,,,,,,
,impotence,nexplanon,,,,,,,
,pustule (collection of pus),aspirin / carisoprodol,,,,,,,
,skin swelling,clarithromycin,,,,,,,
,lip swelling,canagliflozin,,,,,,,
,eye swelling,nasonex,,,,,,,
,visual flashing lights,oxycodone,,,,,,,
,eye floaters,vyvanse,,,,,,,
,amenorrhea (no menstruation),junel fe 1 / 20,,,,,,,
,blurry vision,kombiglyze xr,,,,,,,
,painful gums,levofloxacin,,,,,,,
,swollen gums,pegfilgrastim,,,,,,,
,low heart rate,phentermine,,,,,,,
,foot itching,levonorgestrel,,,,,,,
,hot flashes,lisinopril,,,,,,,
,infertility (female),azelaic acid,,,,,,,
,increased facial hair,mirena,,,,,,,
,arm swelling,suvorexant,,,,,,,
,ear swelling,lysine,,,,,,,
,arm itching,duloxetine,,,,,,,
,hand redness,nexium,,,,,,,
,foot redness,junel fe 1 / 20,,,,,,,
,arm redness,citalopram,,,,,,,
,hand itching,drysol,,,,,,,
,steatorrhea (excess fat in stool),miconazole,,,,,,,
,armpit pain,corticotropin,,,,,,,
,nasal congestion,benzonatate,,,,,,,
,skin sores,mirtazapine,,,,,,,
,arm numbness (paresthesias),lexapro,,,,,,,
,leg numbness (paresthesias),seroquel,,,,,,,
,foot numbness (paresthesias),nexplanon,,,,,,,
,face numbness (paresthesias),oxycodone,,,,,,,
,facial droop (weakness),meclizine,,,,,,,
,snoring,cefdinir,,,,,,,
,chest pain,tri-sprintec,,,,,,,
,stomach and abdominal pain,implanon,,,,,,,
,low back ache or pain,citalopram,,,,,,,
,confusion,methocarbamol,,,,,,,
,headache and weakness,ambien,,,,,,,
,confusion and headache,azithromycin,,,,,,,
,nipple discharge,tri-sprintec,,,,,,,
,abscess (collection of pus),sinemet,,,,,,,
,bloody diarrhea,fluorouracil,,,,,,,
,calf pain,esomeprazole,,,,,,,
,dark stools,prednisone,,,,,,,
,elbow ache or pain,fentanyl,,,,,,,
,,pseudoephedrine,,,,,,,
,foot pain,risperidone,,,,,,,
,"cranky, crying, fussy, irritable child",alpha 1-proteinase inhibitor,,,,,,,
,groin pain,phentermine / topiramate,,,,,,,
,"hand, finger ache or pain",junel fe 1.5 / 30,,,,,,,
,head injury,mirena,,,,,,,
,heel pain,copper,,,,,,,
,heat illness,divalproex sodium,,,,,,,
,hip pain,lamotrigine,,,,,,,
,hoarse voice,pravastatin,,,,,,,
,insect sting,amitriptyline,,,,,,,
,joint pain,vardenafil,,,,,,,
,knee pain,abilify,,,,,,,
,laceration,amlodipine,,,,,,,
,nail injury,clonazepam,,,,,,,
,nasal injury,skyla,,,,,,,
,painful urination,carvedilol,,,,,,,
,pelvic pain,xyzal,,,,,,,
,penile discharge,budeprion sr,,,,,,,
,penis pain,amitriptyline,,,,,,,
,pregnancy problem,desvenlafaxine,,,,,,,
,psychiatric problem,rosuvastatin,,,,,,,
,puncture wound,phentermine,,,,,,,
,rectal pain,victoza,,,,,,,
,rectal swelling,gabapentin,,,,,,,
,scrotal pain,mirena,,,,,,,
,scrotal swelling,percocet,,,,,,,
,skin trauma,contrave,,,,,,,
,snake bite,trulicity,,,,,,,
,spider bite,ethinyl estradiol / levonorgestrel,,,,,,,
,suicidal tendencies,vyvanse,,,,,,,
,toe pain,junel fe 1 / 20,,,,,,,
,tooth pain,tranexamic acid,,,,,,,
,traveler's diarrhea,contrave,,,,,,,
,vaginal bleeding after menopause,nexplanon,,,,,,,
,vaginal bleeding during pregnancy,phentermine,,,,,,,
,vaginal discharge,nuvaring,,,,,,,
,vaginal itching,dextromethorphan,,,,,,,
,weakness (muscle localized),junel fe 1 / 20,,,,,,,
,wrist pain,paxil cr,,,,,,,
,tongue swelling,adipex-p,,,,,,,
,wheezing (noisy breathing),paragard,,,,,,,
,behavioral problem,oxycontin,,,,,,,
,headache after trauma,miconazole,,,,,,,
,liver failure (cirrhosis),chlordiazepoxide,,,,,,,
,ingestion,olanzapine,,,,,,,
,melena (black stools from blood),lo loestrin fe,,,,,,,
,sneezing,levonorgestrel,,,,,,,
,bleeding in brain,zoloft,,,,,,,
,cyanosis (blue skin coloration),doxycycline,,,,,,,
,drooling,aviane,,,,,,,
,skin growths,cellcept,,,,,,,
,ankle pain,lamotrigine,,,,,,,
,night sweats,phentermine,,,,,,,
,flatulence (passing gas),imodium a-d,,,,,,,
,hair loss (baldness),oxycodone,,,,,,,
,heart murmur (abnormal heart sound),azathioprine,,,,,,,
,skin pain,topamax,,,,,,,
,hot skin,etonogestrel,,,,,,,
,foot swelling,doxycycline,,,,,,,
,low blood sugar,cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,,,,,,,
,low blood pressure,plan b one-step,,,,,,,
,darkening of the skin (hyperpigmentation),etonogestrel,,,,,,,
,calf swelling,chateal,,,,,,,
,wrist swelling,rizatriptan,,,,,,,
,maroon stools,paragard,,,,,,,
,arm cut (laceration),strattera,,,,,,,
,hand cut (laceration),monistat 7-day combination pack,,,,,,,
,leg cut (laceration),spironolactone,,,,,,,
,foot cut (laceration),valacyclovir,,,,,,,
,leg redness,tramadol,,,,,,,
,leg itching,cyclobenzaprine,,,,,,,
,upper leg pain,escitalopram,,,,,,,
,sweating,ethinyl estradiol / norelgestromin,,,,,,,
,joint stiffness,sprintec,,,,,,,
,chest burning,uptravi,,,,,,,
,memory loss,eletriptan,,,,,,,
,dementia,prednisone,,,,,,,
,limping in a child,skyla,,,,,,,
,increased thirst,isotretinoin,,,,,,,
,increased urination (polyuria),lisinopril,,,,,,,
,shin pain,nitrofurantoin,,,,,,,
,stings,wellbutrin,,,,,,,
,sleep disorders,rosula,,,,,,,
,drooping eyelid (ptosis),qsymia,,,,,,,
,dry skin,methyldopa,,,,,,,
,itchy eyes,paragard,,,,,,,
,elbow swelling,fetzima,,,,,,,
,skin infection,linaclotide,,,,,,,
,anger,levonorgestrel,,,,,,,
,hurts to breathe,nitrofurantoin,,,,,,,
,difficulty breathing,arimidex,,,,,,,
,pulling at ears,bupropion,,,,,,,
,skin bumps,ondansetron,,,,,,,
,congestion in chest or lungs,eszopiclone,,,,,,,
,discharge from ear,mononessa,,,,,,,
,unusual color or odor of urine,topiramate,,,,,,,
,penis inflammation or swelling,implanon,,,,,,,
,excessive appetite,norethindrone,,,,,,,
,retaining fluid,medroxyprogesterone,,,,,,,
,lump or mass of breast,synvisc-one,,,,,,,
,neck stiffness or tightness,xulane,,,,,,,
,agitated,remeron,,,,,,,
,shoulder stiffness or tightness,quetiapine,,,,,,,
,arm stiffness or tightness,viibryd,,,,,,,
,high blood pressure,pamelor,,,,,,,
,high blood sugar,xanax,,,,,,,
,,ethinyl estradiol / norethindrone,,,,,,,
,,etonogestrel,,,,,,,
,,orphenadrine,,,,,,,
,,etanercept,,,,,,,
,,bupropion / naltrexone,,,,,,,
,,milnacipran,,,,,,,
,,klonopin,,,,,,,
,,chantix,,,,,,,
,,acetaminophen / codeine,,,,,,,
,,penicillin v potassium,,,,,,,
,,varenicline,,,,,,,
,,bupropion / naltrexone,,,,,,,
,,implanon,,,,,,,
,,bisacodyl,,,,,,,
,,advair diskus,,,,,,,
,,cialis,,,,,,,
,,ethinyl estradiol / norelgestromin,,,,,,,
,,tadalafil,,,,,,,
,,olanzapine,,,,,,,
,,tadalafil,,,,,,,
,,klonopin,,,,,,,
,,humira,,,,,,,
,,alprazolam,,,,,,,
,,clonazepam,,,,,,,
,,minoxidil,,,,,,,
,,dulaglutide,,,,,,,
,,desogestrel / ethinyl estradiol,,,,,,,
,,suprep bowel prep kit,,,,,,,
,,levonorgestrel,,,,,,,
,,levonorgestrel,,,,,,,
,,metformin,,,,,,,
,,phenazopyridine,,,,,,,
,,ethinyl estradiol / levonorgestrel,,,,,,,
,,duofilm,,,,,,,
,,levonorgestrel,,,,,,,
,,duloxetine,,,,,,,
,,levonorgestrel,,,,,,,
,,clonazepam,,,,,,,
,,sprycel,,,,,,,
,,bisacodyl,,,,,,,
,,ella,,,,,,,
,,rosuvastatin,,,,,,,
,,klonopin,,,,,,,
,,etonogestrel,,,,,,,
,,sronyx,,,,,,,
,,paxil,,,,,,,
,,implanon,,,,,,,
,,viibryd,,,,,,,
,,ortho tri-cyclen lo,,,,,,,
,,contrave,,,,,,,
,,alcaftadine,,,,,,,
,,sulfamethoxazole / trimethoprim,,,,,,,
,,levothyroxine,,,,,,,
,,kineret,,,,,,,
,,nature-throid,,,,,,,
,,levonorgestrel,,,,,,,
,,quetiapine,,,,,,,
,,tioconazole,,,,,,,
,,propofol,,,,,,,
,,metronidazole,,,,,,,
,,cholestyramine,,,,,,,
,,aviane,,,,,,,
,,depo-provera,,,,,,,
,,linaclotide,,,,,,,
,,etonogestrel,,,,,,,
,,levonorgestrel,,,,,,,
,,flector patch,,,,,,,
,,prochlorperazine,,,,,,,
,,zovia,,,,,,,
,,azithromycin,,,,,,,
,,toprol-xl,,,,,,,
,,medroxyprogesterone,,,,,,,
,,minocycline,,,,,,,
,,perampanel,,,,,,,
,,cozaar,,,,,,,
,,acetaminophen / dexbrompheniramine / pseudoephedrine,,,,,,,
,,androgel,,,,,,,
,,desogestrel / ethinyl estradiol,,,,,,,
,,avinza,,,,,,,
,,escitalopram,,,,,,,
,,cialis,,,,,,,
,,ativan,,,,,,,
,,atomoxetine,,,,,,,
,,implanon,,,,,,,
,,lorcaserin,,,,,,,
,,ethinyl estradiol / etonogestrel,,,,,,,
,,oxymorphone,,,,,,,
,,sertraline,,,,,,,
,,nexplanon,,,,,,,
,,saphris,,,,,,,
,,mirabegron,,,,,,,
,,gabapentin,,,,,,,
,,pramoxine,,,,,,,
,,alphagan p,,,,,,,
,,venlafaxine,,,,,,,
,,etonogestrel,,,,,,,
,,phillips' milk of magnesia,,,,,,,
,,etonogestrel,,,,,,,
,,citalopram,,,,,,,
,,eluxadoline,,,,,,,
,,duloxetine,,,,,,,
,,benzonatate,,,,,,,
,,ethinyl estradiol / levonorgestrel,,,,,,,
,,terbinafine,,,,,,,
,,indomethacin,,,,,,,
,,wellbutrin,,,,,,,
,,klonopin,,,,,,,
,,latuda,,,,,,,
,,belviq,,,,,,,
,,mesalamine,,,,,,,
,,etonogestrel,,,,,,,
,,sulfamethoxazole / trimethoprim,,,,,,,
,,plan b,,,,,,,
,,apremilast,,,,,,,
,,bupropion,,,,,,,
,,norco,,,,,,,
,,celexa,,,,,,,
,,phentermine / topiramate,,,,,,,
,,ella,,,,,,,
,,savella,,,,,,,
,,levonorgestrel,,,,,,,
,,bisacodyl,,,,,,,
,,sertraline,,,,,,,
,,buprenorphine / naloxone,,,,,,,
,,vivitrol,,,,,,,
,,ortho cyclen,,,,,,,
,,clonazepam,,,,,,,
,,advair hfa,,,,,,,
,,anastrozole,,,,,,,
,,xarelto,,,,,,,
,,metformin / sitagliptin,,,,,,,
,,lexapro,,,,,,,
,,belsomra,,,,,,,
,,trinessa,,,,,,,
,,prazosin,,,,,,,
,,qsymia,,,,,,,
,,tri-sprintec,,,,,,,
,,dicyclomine,,,,,,,
,,seroquel,,,,,,,
,,etonogestrel,,,,,,,
,,sodium hyaluronate,,,,,,,
,,adapalene / benzoyl peroxide,,,,,,,
,,phentermine,,,,,,,
,,ethinyl estradiol / norgestimate,,,,,,,
,,toradol,,,,,,,
,,epiduo,,,,,,,
,,prednisone,,,,,,,
,,ciprofloxacin,,,,,,,
,,suprep bowel prep kit,,,,,,,
,,benzoyl peroxide / clindamycin,,,,,,,
,,latuda,,,,,,,
,,belviq,,,,,,,
,,metronidazole,,,,,,,
,,tri-sprintec,,,,,,,
,,lyrica,,,,,,,
,,kyleena,,,,,,,
,,ethinyl estradiol / norethindrone,,,,,,,
,,toradol,,,,,,,
,,clarithromycin,,,,,,,
,,aluminum chloride hexahydrate,,,,,,,
,,gabapentin,,,,,,,
,,plan b one-step,,,,,,,
,,levsin sl,,,,,,,
,,benzoyl peroxide / clindamycin,,,,,,,
,,human papillomavirus vaccine,,,,,,,
,,lortab,,,,,,,
,,zoloft,,,,,,,
,,dexmethylphenidate,,,,,,,
,,catapres,,,,,,,
,,nuvaring,,,,,,,
,,sertraline,,,,,,,
,,cyclobenzaprine,,,,,,,
,,harvoni,,,,,,,
,,lansoprazole,,,,,,,
,,medroxyprogesterone,,,,,,,
,,varenicline,,,,,,,
